Aether Charge	mtg.txt	target(opponent) -> target(opponent,planeswalker)
Aethertorch Renegade	mtg.txt	target(player) -> target(player,planeswalker)
Axelrod Gunnarson	mtg.txt	target(player) -> target(player,planeswalker)
Blightning	mtg.txt	target=player -> target=player,planeswalker
Boggart Shenanigans	mtg.txt	target(player) -> target(player,planeswalker)
Brion Stoutarm	mtg.txt	target(player) -> target(player,planeswalker)
Chandra's Fury	mtg.txt	target=player -> target=player,planeswalker
Cinder Hellion	mtg.txt	target(opponent) -> target(opponent,planeswalker)
Cinder Pyromancer	mtg.txt	target(player) -> target(player,planeswalker)
Consulate Turret	mtg.txt	target(player) -> target(player,planeswalker)
Consuming Sinkhole	mtg.txt	target(player) -> target(player,planeswalker)
Cosi's Ravager	mtg.txt	target(player) -> target(player,planeswalker)
Deathforge Shaman	mtg.txt	target(player) -> target(player,planeswalker)
Emberwilde Augur	mtg.txt	target(player) -> target(player,planeswalker)
Exploding Borders	mtg.txt	target=player -> target=player,planeswalker
Exuberant Firestoker	mtg.txt	target(player) -> target(player,planeswalker)
Feedback Bolt	mtg.txt	target=player -> target=player,planeswalker
Final Strike	mtg.txt	target=opponent -> target=opponent,planeswalker
Flame Jet	mtg.txt	target=player -> target=player,planeswalker
Flame Wave	mtg.txt	target=player -> target=player,planeswalker
Flamewave Invoker	mtg.txt	target(player) -> target(player,planeswalker)
Font of Ire	mtg.txt	target(player) -> target(player,planeswalker)
Furious Assault	mtg.txt	target(player) -> target(player,planeswalker)
Giant's Ire	mtg.txt	target=player -> target=player,planeswalker
Goblin Bomb	mtg.txt	target(player) -> target(player,planeswalker)
Goblin Fireslinger	mtg.txt	target(player) -> target(player,planeswalker)
Goblin Razerunners	mtg.txt	target(player) -> target(player,planeswalker)
Goblin War Strike	mtg.txt	target=player -> target=player,planeswalker
Goretusk Firebeast	mtg.txt	target(player) -> target(player,planeswalker)
Gruul Guildmage	mtg.txt	target(player) -> target(player,planeswalker)
Heartwood Giant	mtg.txt	target(player) -> target(player,planeswalker)
Hellhole Flailer	mtg.txt	target(player) -> target(player,planeswalker)
Implement of Combustion	mtg.txt	target(player) -> target(player,planeswalker)
Jeskai Charm	mtg.txt	target(opponent) -> target(opponent,planeswalker)
Keldon Champion	mtg.txt	target(player) -> target(player,planeswalker)
Kessig Malcontents	mtg.txt	target(player) -> target(player,planeswalker)
Kyren Negotiations	mtg.txt	target(player) -> target(player,planeswalker)
Kyren Sniper	mtg.txt	target(player) -> target(player,planeswalker)
Lava Axe	mtg.txt	target=player -> target=player,planeswalker
Lava Spike	mtg.txt	target=player -> target=player,planeswalker
Lavalanche	mtg.txt	target(player) -> target(player,planeswalker)
Leyline of Lightning	mtg.txt	target(player) -> target(player,planeswalker)
Lunge	mtg.txt	target(player) -> target(player,planeswalker)
Mob Justice	mtg.txt	target=player -> target=player,planeswalker
Mogg Bombers	mtg.txt	target(player) -> target(player,planeswalker)
Noble Vestige	mtg.txt	target(player) -> target(player,planeswalker)
Obelisk of Alara	mtg.txt	target(player) -> target(player,planeswalker)
Pulse of the Forge	mtg.txt	target=player -> target=player,planeswalker
Rage Forger	mtg.txt	target(player) -> target(player,planeswalker)
Rage Thrower	mtg.txt	target(player) -> target(player,planeswalker)
Rakdos's Return	mtg.txt	target(opponent) -> target(opponent,planeswalker)
Razortip Whip	mtg.txt	target(opponent) -> target(opponent,planeswalker)
Rite of Consumption	mtg.txt	target=player -> target=player,planeswalker
Scalding Devil	mtg.txt	target(player) -> target(player,planeswalker)
Scepter of Empires	mtg.txt	target(player) -> target(player,planeswalker)
Scorched Rusalka	mtg.txt	target(player) -> target(player,planeswalker)
Scorching Missile	mtg.txt	target=player -> target=player,planeswalker
Scrapyard Salvo	mtg.txt	target=player -> target=player,planeswalker
Scuttling Doom Engine	mtg.txt	target(opponent) -> target(opponent,planeswalker)
Shower of Sparks	mtg.txt	target(player) -> target(player,planeswalker)
Sorin's Vengeance	mtg.txt	target=player -> target=player,planeswalker
Stalking Vengeance	mtg.txt	target(player) -> target(player,planeswalker)
Stensia Bloodhall	mtg.txt	target(player) -> target(player,planeswalker)
Stensia Banquet	mtg.txt	target=opponent -> target=opponent,planeswalker
Taste of Blood	mtg.txt	target=player -> target=player,planeswalker
Telim'Tor's Darts	mtg.txt	target(player) -> target(player,planeswalker)
Touch of Death	mtg.txt	target=player -> target=player,planeswalker
Vent Sentinel	mtg.txt	target(player) -> target(player,planeswalker)
Volcanic Rambler	mtg.txt	target(player) -> target(player,planeswalker)
