Aether Charge	OPP_OR_PW	Whenever a Beast you control enters, you may have it deal 4 damage to target opponent or planeswalker.
Aethertorch Renegade	PLAYER_OR_PW	When this creature enters, you get {E}{E}{E}{E} (four energy counters). -- {T}, Pay {E}{E}: This creature deals 1 damage to target creature. -- {T}, Pay eight {E}: This creature deals 6 damage to target player or planeswalker.
Axelrod Gunnarson	PLAYER_OR_PW	Trample -- Whenever a creature dealt damage by Axelrod Gunnarson this turn dies, you gain 1 life and Axelrod Gunnarson deals 1 damage to target player or planeswalker.
Blightning	PLAYER_OR_PW	Blightning deals 3 damage to target player or planeswalker. That player or that planeswalker's controller discards two cards.
Boggart Shenanigans	PLAYER_OR_PW	Whenever another Goblin you control is put into a graveyard from the battlefield, you may have this enchantment deal 1 damage to target player or planeswalker.
Brion Stoutarm	PLAYER_OR_PW	Lifelink -- {R}, {T}, Sacrifice another creature: Brion Stoutarm deals damage equal to the sacrificed creature's power to target player or planeswalker.
Chandra's Fury	PLAYER_OR_PW	Chandra's Fury deals 4 damage to target player or planeswalker and 1 damage to each creature that player or that planeswalker's controller controls.
Cinder Hellion	OPP_OR_PW	Trample -- When this creature enters, it deals 2 damage to target opponent or planeswalker.
Cinder Pyromancer	PLAYER_OR_PW	{T}: This creature deals 1 damage to target player or planeswalker. -- Whenever you cast a red spell, you may untap this creature.
Consulate Turret	PLAYER_OR_PW	{T}: You get {E} (an energy counter). -- {T}, Pay {E}{E}{E}: This artifact deals 2 damage to target player or planeswalker.
Consuming Sinkhole	PLAYER_OR_PW	Devoid (This card has no color.) -- Choose one — -- • Exile target land creature. -- • Consuming Sinkhole deals 4 damage to target player or planeswalker.
Cosi's Ravager	PLAYER_OR_PW	Landfall — Whenever a land you control enters, you may have this creature deal 1 damage to target player or planeswalker.
Curse of the Pierced Heart	NO_PATTERN	Enchant player -- At the beginning of enchanted player's upkeep, this Aura deals 1 damage to that player or a planeswalker that player controls.
Deathforge Shaman	PLAYER_OR_PW	Multikicker {R} (You may pay an additional {R} any number of times as you cast this spell.) -- When this creature enters, it deals damage to target player or planeswalker equal to twice the number of times it was kicked.
Emberwilde Augur	PLAYER_OR_PW	Sacrifice this creature: It deals 3 damage to target player or planeswalker. Activate only during your upkeep.
Eternal Flame	OPP_OR_PW	Eternal Flame deals X damage to target opponent or planeswalker and half X damage, rounded up, to you, where X is the number of Mountains you control.
Exploding Borders	PLAYER_OR_PW	Domain — Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle. Exploding Borders deals X damage to target player or planeswalker, where X is the number of basic land types among lands you control.
Exuberant Firestoker	PLAYER_OR_PW	At the beginning of your end step, if you control a creature with power 5 or greater, you may have this creature deal 2 damage to target player or planeswalker. -- {T}: Add {C}.
Feedback Bolt	PLAYER_OR_PW	Feedback Bolt deals damage to target player or planeswalker equal to the number of artifacts you control.
Final Strike	OPP_OR_PW	As an additional cost to cast this spell, sacrifice a creature. -- Final Strike deals damage to target opponent or planeswalker equal to the sacrificed creature's power.
Flame Jet	PLAYER_OR_PW	Flame Jet deals 3 damage to target player or planeswalker. -- Cycling {2} ({2}, Discard this card: Draw a card.)
Flame Wave	PLAYER_OR_PW	Flame Wave deals 4 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls.
Flamewave Invoker	PLAYER_OR_PW	{7}{R}: This creature deals 5 damage to target player or planeswalker.
Font of Ire	PLAYER_OR_PW	{3}{R}, Sacrifice this enchantment: It deals 5 damage to target player or planeswalker.
Furious Assault	PLAYER_OR_PW	Whenever you cast a creature spell, this enchantment deals 1 damage to target player or planeswalker.
Giant's Ire	PLAYER_OR_PW	Giant's Ire deals 4 damage to target player or planeswalker. If you control a Giant, draw a card.
Goblin Bomb	PLAYER_OR_PW	At the beginning of your upkeep, you may flip a coin. If you win the flip, put a fuse counter on this enchantment. If you lose the flip, remove a fuse counter from this enchantment. -- Remove five fuse counters from this enchantment and sacrifice it: It deals 20 damage to target player or planeswalker.
Goblin Fireslinger	PLAYER_OR_PW	{T}: This creature deals 1 damage to target player or planeswalker.
Goblin Lyre	OPP_OR_PW	Sacrifice this artifact: Flip a coin. If you win the flip, this artifact deals damage to target opponent or planeswalker equal to the number of creatures you control. If you lose the flip, this artifact deals damage to you equal to the number of creatures that opponent or that planeswalker's controller controls.
Goblin Razerunners	PLAYER_OR_PW	{1}{R}, Sacrifice a land: Put a +1/+1 counter on this creature. -- At the beginning of your end step, you may have this creature deal damage equal to the number of +1/+1 counters on it to target player or planeswalker.
Goblin War Strike	PLAYER_OR_PW	Goblin War Strike deals damage to target player or planeswalker equal to the number of Goblins you control.
Goretusk Firebeast	PLAYER_OR_PW	When this creature enters, it deals 4 damage to target player or planeswalker.
Gruul Guildmage	PLAYER_OR_PW	({R/G} can be paid with either {R} or {G}.) -- {3}{R}, Sacrifice a land: This creature deals 2 damage to target player or planeswalker. -- {3}{G}: Target creature gets +2/+2 until end of turn.
Heart of Bogardan	PLAYER_OR_PW	Cumulative upkeep {2} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) -- When a player doesn't pay this enchantment's cumulative upkeep, this enchantment deals X damage to target player or planeswalker and each creature that player or that planeswalker's controller controls, where X is twice the numb
Heartwood Giant	PLAYER_OR_PW	{T}, Sacrifice a Forest: This creature deals 2 damage to target player or planeswalker.
Hellrider	PLAYER_OR_PW	Haste -- Whenever a creature you control attacks, this creature deals 1 damage to the player or planeswalker it's attacking.
Hellhole Flailer	PLAYER_OR_PW	Unleash (You may have this creature enter with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.) -- {2}{B}{R}, Sacrifice this creature: It deals damage equal to its power to target player or planeswalker.
Implement of Combustion	PLAYER_OR_PW	{R}, Sacrifice this artifact: It deals 1 damage to target player or planeswalker. -- When this artifact is put into a graveyard from the battlefield, draw a card.
Jeskai Charm	OPP_OR_PW	Choose one — -- • Put target creature on top of its owner's library. -- • Jeskai Charm deals 4 damage to target opponent or planeswalker. -- • Creatures you control get +1/+1 and gain lifelink until end of turn.
Keldon Champion	PLAYER_OR_PW	Haste -- Echo {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) -- When this creature enters, it deals 3 damage to target player or planeswalker.
Keldon Marauders	PLAYER_OR_PW	Vanishing 2 (This creature enters with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.) -- When this creature enters or leaves the battlefield, it deals 1 damage to target player or planeswalker.
Kessig Malcontents	PLAYER_OR_PW	When this creature enters, it deals damage to target player or planeswalker equal to the number of Humans you control.
Kiss of Death	OPP_OR_PW	Kiss of Death deals 4 damage to target opponent or planeswalker. You gain 4 life.
Kyren Negotiations	PLAYER_OR_PW	Tap an untapped creature you control: This enchantment deals 1 damage to target player or planeswalker.
Kyren Sniper	PLAYER_OR_PW	At the beginning of your upkeep, you may have this creature deal 1 damage to target player or planeswalker.
Landslide	PLAYER_OR_PW	Sacrifice any number of Mountains. Landslide deals that much damage to target player or planeswalker.
Lava Axe	PLAYER_OR_PW	Lava Axe deals 5 damage to target player or planeswalker.
