Aether Charge	OPP_OR_PW	AUTO	target(opponent)
Aethertorch Renegade	PLAYER_OR_PW	AUTO	target(player)
Axelrod Gunnarson	PLAYER_OR_PW	AUTO	target(player)
Blightning	PLAYER_OR_PW	AUTO	target=player
Boggart Shenanigans	PLAYER_OR_PW	AUTO	target(player)
Brion Stoutarm	PLAYER_OR_PW	AUTO	target(player)
Chandra's Fury	PLAYER_OR_PW	AUTO	target=player
Cinder Hellion	OPP_OR_PW	AUTO	target(opponent)
Cinder Pyromancer	PLAYER_OR_PW	AUTO	target(player)
Consulate Turret	PLAYER_OR_PW	AUTO	target(player)
Consuming Sinkhole	PLAYER_OR_PW	AUTO	target(player)
Cosi's Ravager	PLAYER_OR_PW	AUTO	target(player)
Curse of the Pierced Heart	NO_PATTERN	REVIEW	target=player
Deathforge Shaman	PLAYER_OR_PW	AUTO	target(player)
Emberwilde Augur	PLAYER_OR_PW	AUTO	target(player)
Eternal Flame	OPP_OR_PW	REVIEW	no-player-target: 
Exploding Borders	PLAYER_OR_PW	AUTO	target=player
Exuberant Firestoker	PLAYER_OR_PW	AUTO	target(player)
Feedback Bolt	PLAYER_OR_PW	AUTO	target=player
Final Strike	OPP_OR_PW	AUTO	target=opponent
Flame Jet	PLAYER_OR_PW	AUTO	target=player
Flame Wave	PLAYER_OR_PW	AUTO	target=player
Flamewave Invoker	PLAYER_OR_PW	AUTO	target(player)
Font of Ire	PLAYER_OR_PW	AUTO	target(player)
Furious Assault	PLAYER_OR_PW	AUTO	target(player)
Giant's Ire	PLAYER_OR_PW	AUTO	target=player
Goblin Bomb	PLAYER_OR_PW	AUTO	target(player)
Goblin Fireslinger	PLAYER_OR_PW	AUTO	target(player)
Goblin Lyre	OPP_OR_PW	REVIEW	no-player-target: 
Goblin Razerunners	PLAYER_OR_PW	AUTO	target(player)
Goblin War Strike	PLAYER_OR_PW	AUTO	target=player
Goretusk Firebeast	PLAYER_OR_PW	AUTO	target(player)
Gruul Guildmage	PLAYER_OR_PW	AUTO	target(player)
Heart of Bogardan	PLAYER_OR_PW	REVIEW	no-player-target: 
Heartwood Giant	PLAYER_OR_PW	AUTO	target(player)
Hellrider	PLAYER_OR_PW	REVIEW	no-player-target: 
Hellhole Flailer	PLAYER_OR_PW	AUTO	target(player)
Implement of Combustion	PLAYER_OR_PW	AUTO	target(player)
Jeskai Charm	OPP_OR_PW	AUTO	target(opponent)
Keldon Champion	PLAYER_OR_PW	AUTO	target(player)
Keldon Marauders	PLAYER_OR_PW	REVIEW	no-player-target: 
Kessig Malcontents	PLAYER_OR_PW	AUTO	target(player)
Kiss of Death	OPP_OR_PW	REVIEW	no-player-target: 
Kyren Negotiations	PLAYER_OR_PW	AUTO	target(player)
Kyren Sniper	PLAYER_OR_PW	AUTO	target(player)
Landslide	PLAYER_OR_PW	REVIEW	no-player-target: target=<anyamount>mountain|mybattlefield
Lava Axe	PLAYER_OR_PW	AUTO	target=player
