deck0	deck1	winner	life0	life1	turn	start_epoch
146	123	0	22	0	12	1787604162
152	130	0	20	-6	12	1787604172
152	162	1	0	11	12	1787604164
146	130	0	19	-2	20	1787604170
146	125	0	21	-5	16	1787604160
162	123	0	15	0	13	1787604194
126	162	1	0	20	14	1787604182
152	123	0	20	-4	12	1787604180
162	130	0	17	-2	14	1787604198
146	162	0	6	-1	14	1787604196
123	130	1	-1	19	17	1787604176
152	126	0	16	-5	16	1787604192
125	162	1	0	14	26	1787604168
125	130	1	-2	20	33	1787604188
146	126	1	0	20	21	1787604166
146	152	0	18	0	24	1787604186
126	130	0	28	0	38	1787604174
152	125	1	0	4	40	1787604158
126	123	0	59	0	19	1787604190
125	123	0	64	0	61	1787604184
125	126	1	98	22	51	1787604178
